id,粵語,詞彙類別,粵語拼音,聲調,標準漢語1,標準漢語2,備註
3619,又呢又□,其他,jau ni jau lou,又6呢1又6□3,又這樣又那樣,,
3620,又試,其他,jau si,又6試3,又,,
3621,又點話,其他,jau dim waa,又6點2話6,又有什麼問題,,又有什麼問題(即沒關係)
3622,又乜又物,其他,jau mat jau mat,又6乜7又6物9,又這個又那個地,,
3623,右手便,副詞,jau sau bin,右6手2便6,右手的這邊,右邊,"同""""右便"""""
3624,右口魚,動物,jau hau jyu,右6口2魚4*2,(沒有對應詞彙),,偏口魚的一種
3625,柚,植物、糧菜、果品,jau,柚6*2,(不是粵方言詞),,不是粵方言詞
3626,柚皮,植物、糧菜、果品,jau pei,柚6*2皮4,柚子皮,,
3627,柚青,植物、糧菜、果品,jau ceng,柚6*2青1,(沒有對應詞彙),,未成熟的柚子厚皮
3628,煲,家具、日常用品,bou,煲1,鍋,,
3629,煲仔,家具、日常用品,bou zai,煲1仔2,小型的扁沙鍋,,
3630,煲仔飯,飲食,bou zai faan,煲1仔2飯6,用小沙鍋煮的飯,,用小沙鍋連飯帶肉菜一起燜的飯
3631,煲,動詞,bou,煲1,用沙鍋燒煮,,
3632,煲冇米粥,其他,bou mou mai zuk,煲1冇5米5粥7,說沒影兒的事,,"喻謀求毫無把握的事物,做無謂的空想"
3633,煲腍,動詞,bou nam,煲1腍4,煮爛,,
3634,煲針,動詞,bou zam,煲1針1,煮針,,"「煲針」,指消毒打針用具"
3635,煲藥,動詞,bou joek,煲1藥9,熬中草藥,,
3636,煲粥,動詞,bou zuk,煲1粥7,熬粥,,
3637,褒獎,動詞,bou zoeng,褒1獎2,誇贊,誇獎,
3638,保你大,其他,bou nei daai,保2你5大6,服了你了,你真行,保你大--心服對方時說的話
3639,補,動詞,bou naa,補21,打補靪,,
3640,補開,其他,bou hoi,補2開1,相形之下,比較,
3641,補數,動詞,bou sou,補2數3,彌補,補上欠的人情,
3642,補衫婆,稱謂,bou saam po,補2衫1婆4*2,縫窮婦,,
3643,補銀水,動詞,bou ngan seoi,補2銀4水2,(沒有對應詞彙),,
3644,寶貴,形容詞,bou gwai,寶2貴3,看重,疼愛,
3645,寶貝,稱謂,bou bui,寶2貝3,心肝寶貝,珍視,
3646,寶號,商業、交通,bou hou,寶2號6,貴號,,對別人店鋪的尊稱
3647,寶燭,其他,bou zuk,寶2燭7,(沒有對應詞彙),,紙元寶、蠟燭的合稱
3648,布拉腸粉,飲食,bou laai coeng fan,布3拉1腸4*2粉2,拉腸,,現做現吃的腸粉
3649,布頭布尾,服飾,bou tau bou mei,布3頭4布3尾5,布頭兒,碎布,
3650,布碎,服飾,bou seoi,布3碎3*2,碎布片,碎布,
3651,布辦,服飾,bou baan,布3辦6*2,布樣子(樣品),,
3652,報紙佬,稱謂,bou zi lou,報3紙2佬2,賣報人,報販子,
3653,報仇,動詞,bou sau,報3仇4,(不是粵方言詞),,(不是粵方言詞)
3654,報銷,動詞,bou siu,報3銷1,(不是粵方言詞),,(形容物件)
3655,報君知,其他,bou gwan zi,報3君1知1,(沒有對應詞彙),,舊時指盲人賣卦時用的響器
3656,報生,其他,bou saang,報3生1,(沒有對應詞彙),,
3657,報應,其他,bou jing,報3應3,(不是粵方言詞),,(不是粵方言詞)
3658,部,數量詞,bou,部6,(不是粵方言詞),,"同""""架"""""
3659,捗,動詞,bou,捗6,用棍打,,
3660,菢,動詞,bou,菢6,(不是粵方言詞),,(不是粵方言詞)
3661,菢竇雞,動物,bou dau gai,菢6竇3雞1,(沒有對應詞彙),,正在孵蛋期間的母雞
3662,暴冷暴熱,其他,bou laang bou jit,暴6冷5暴6熱9,(不是粵方言詞),,
3663,暴發戶,稱謂,bou faat wu,暴6發8戶6,(不是粵方言詞),,突然發財得勢的人或人家
3664,簿,文化、娛樂,bou,簿6*2,紙本子,簿子,
3665,鋪,動詞,pou,鋪1,鋪設,鋪開,
3666,鋪排,動詞,pou paai,鋪1排4,排場,,
3667,浮,動詞,pou,浮4,漂浮,,詞義與普通話相同
3668,菩薩,文化、娛樂,pou saat,菩4薩3,泛指佛和某些神,,
3669,葡提子乾,植物、糧菜、果品,pou tai zi gon,葡4提4子2乾1,葡萄乾,,
3670,蒲桃,植物、糧菜、果品,pou tou,蒲4桃4*2,(不是粵方言詞),,
3671,蒲桃公,植物、糧菜、果品,pou tou gung,蒲4桃4*2公1,(不是粵方言詞),,"長形蒲桃,肉厚無核"
3672,蒲團,家具、日常用品,pou tyun,蒲4團4*2,(不是粵方言詞),,
3673,抱,動詞,pou,抱5,(不是粵方言詞),,用手臂圍著。非粵方言詞。
3674,抱子金蘭,植物、糧菜、果品,pou zi gam laan,抱5子2金1蘭4,(沒有對應詞彙),,一種洋菜花
3675,抱歉,形容詞,pou hip,抱5歉8,(不是粵方言詞),,非粵方言詞
3676,抱腳,其他,pou goek,抱5腳8,(不是粵方言詞),,非粵方言詞
3677,泡,其他,pou,泡5,泡沫,,詞義與普通話相同
3678,鋪,商業、交通,pou,鋪3,店鋪,,
3679,鋪位,商業、交通,pou tau,鋪3位6*2,店鋪所佔的位置,,店鋪所佔用的地方
3680,鋪頭,商業、交通,pou tau,鋪3頭4*2,小店鋪,商店的泛稱,
3681,鋪面,商業、交通,pou min,鋪3面6*2,鋪子的門面,,
3682,毛,其他,mou,毛4*1,(沒有對應詞彙),,物品霉變後長出的毛。與普通話詞義相同。
3683,毛豆,植物、糧菜、果品,mou dau,毛4豆6*2,(不是粵方言詞),,非粵方言詞
3684,毛衫,服飾,mou saam,毛4衫1,羊毛衫的簡稱,,
3685,毛巾褸,服飾,mou gan lau,毛4巾1褸1,(沒有對應詞彙),,游泳出水後披的毛巾布長外衣
3686,毛巾恤,服飾,mou gan seot,毛4巾1恤7,毛巾布襯衫,,"詞義與普通話基本相同,唯粵方言應用範圍較廣"
3687,毛管,人體,mou gun,毛4管2,毛孔,,
3688,毛管戙,動詞,mou gun dung,毛4管2戙6,起雞皮疙瘩,,
3689,毛冷,服飾,mou laang,毛4冷1,毛線,,
3690,毛鬙鬙,形容詞,mou sang sang,毛4鬙4鬙4,毛茸茸,,"形容毛多,又長又密"
3691,無他,副詞,mou taa,無4他1,沒有別的緣故,沒什麼,
3692,無疑,連詞,mou ji,無4疑4,雖然,,"(普通話有此詞,惟詞義不同)"
3693,無謂,副詞,mou wai,無4謂6,(不是粵方言詞),,(不是粵方言詞)
3694,無聊無賴,形容詞,mou liu mou laai,無4聊4無4賴6,無聊,百無聊賴,
3695,無拘無管,形容詞,mou keoi mou gun,無4拘1無4管2,沒拘束,很自由,
3696,無端生有,其他,mou dyun sang jau,無4端1生1有5,無中生有,,
3697,無情雞,飲食,mou cing gai,無4情4雞1,(沒有對應詞彙),,
3698,摹紅,文化、娛樂,mou hung,摹4紅4,(不是粵方言詞),,
3699,模,工具、材料,mou,模4*2,(不是粵方言詞),,
3700,冇,副詞,mou,冇5,沒有,無,
3701,冇挐,時間、節令,mou naa lang,冇5挐13,沒有瓜葛,沒有關連,
3702,冇拿,其他,mou zaa naa,冇51拿4,沒有把握,沒抓撓兒,
3703,冇瓦遮頭,其他,mou ngaa ze tau,冇5瓦5遮1頭4,頭上無片瓦,無立錐之地,頭上無片瓦(極言貧苦)
3704,冇下落,其他,mou haa lok,冇5下6落9,心中無落,無聊賴,
3705,冇話頭,其他,mou waa tau,冇5話6頭4,沒什麼可說,不值一說,
3706,冇野,副詞,mou je,冇5野5,沒事兒,沒什麼,
3707,冇野口,其他,mou je deng hau,冇5野53口2,(沒有對應詞彙),,(罵人話)說人愛說話
3708,冇錯,副詞,mou co,冇5錯3,沒錯兒,,
3709,冇呢支歌唱,動詞,mou ni zi go coeng,冇5呢1支1歌1唱3,"過了這個村兒,再沒這個店兒",,"喻過去有的東西,現在不再有了"
3710,冇時,副詞,mou si,冇5時4,無時,沒有一刻,
3711,冇時閑,其他,mou si haan,冇5時4閑4,(沒有對應詞彙),,"很忙,沒有一刻清閑"
3712,冇事,副詞,mou si,冇5事6,沒出事兒,沒問題,
3713,冇衣食,其他,mou ji sik,冇5衣1食9,(沒有對應詞彙),,"因浪費而折福壽,折減衣食/行歪道而受報應"
3714,冇符,其他,mou fu,冇5符4,沒法子,無計可施,
3715,冇大冇細,其他,mou daai mou sai,冇5大6冇5細3,不分老幼尊卑,沒大沒小,
3716,冇奈何,副詞,mou naai ho,冇5奈6何4,奈何不得,無可奈何,
3717,冇米粥,其他,mou mai zuk,冇5米5粥7,(沒有對應詞彙),,米少菜多的粥
3718,冇睇頭,形容詞,mou tai tau,冇5睇2頭4,不好看,沒看頭,
3719,冇細藝,其他,mou sai ngai,冇5細3藝6,指閑坐無事,無聊賴,"手頭沒有零碎活兒,指閑坐無事,百無聊賴。"
3720,冇計,其他,mou gai ge,冇5計33,不算什麼,不論,
3721,冇壞,其他,mou waai ge,冇5壞63*2,沒有壞處,,
3722,冇尾飛砣,其他,mou mei fei to,冇5尾5飛1砣4,(沒有對應詞彙),,喻一去不回的人或物
3723,冇釐,副詞,mou lei,冇5釐4,一點也沒有,,
3724,冇幾耐,副詞,mou gei noi,冇5幾2耐6*2,沒多久,不大一會兒,
3725,冇交易,商業、交通,mou gaau jik,冇5交1易9,沒有買賣關係,,
3726,冇頭烏蠅,稱謂,mou tau wu jing,冇5頭4烏1蠅4*1,沒頭蒼蠅,,"喻做事無條理,無計劃者,到處亂撞"
3727,冇走趲,時間、節令,mou zau zaan,有5走2趲3*2,沒有鬆動的時間,,
3728,冇口話佢,其他,mou hau waa keoi,冇5口2話6佢5,(沒有對應詞彙),,"對不聽話、倔強的人,懶得說他"
3729,冇口齒,形容詞,mou hau ci,有5口2齒2,不講信用,說了不算,
3730,冇有怕,其他,mou jau paa,冇5有5怕3,沒什可怕的,無所畏懼,
3731,冇譜,形容詞,mou pou,冇5譜2,離譜,不合常理,
3732,冇腦,形容詞,mou nou,冇5腦5,沒腦子,沒心眼兒,
3733,冇數為,副詞,mou sou wai,冇5數3為4,划不來,不合算,
3734,冇料,形容詞,mou liu,冇5料6*2,沒學問,沒真本事,
3735,冇橋,其他,mou kiu,冇5橋4*2,沒法子,沒招兒,
3736,冇腰骨,其他,mou jiu gwat,有5腰1骨7,靠不住,光說不做,
3737,冇膽匪類,其他,mou daam fei leoi,冇5膽2匪2類6*2,(沒有對應詞彙),,譏諷那些調皮搗蛋沒有膽量的人
3738,冇心機,形容詞,mou sam gei,冇5心1機1,沒興致,沒勁,
3739,冇心肝,形容詞,mou sam gon,冇5心1肝1,指不用心,,
3740,冇眼界,其他,mou ngaan gaai,冇5眼5界3,沒見識,缺乏常識,
3741,冇眼睇,其他,mou ngaan tai,冇5眼5睇2,不忍看,看不下去,
3742,冇紋路,形容詞,mou man lou,冇5紋4路6,沒正經,吊兒郎當,
3743,冇份,其他,mou fan,冇5份6*2,(沒有對應詞彙),,沒有自己的份兒
3744,冇斤兩,其他,mou gan loeng,冇5斤1兩5*2,沒本事,,"沒有真才實學/沒有辦事能力,辦事靠不住"
3745,冇人冇物,其他,mou jan mou mat,冇5人4冇5物9*2,孤獨,孤零零一人,"指孤身一人,沒有家人親屬。"
3746,冇癮,形容詞,mou jan,冇5癮5,沒勁,掃興,
3747,冇面,形容詞,mou min,冇5面6*2,沒臉,,
3748,冇本心,形容詞,mou bun sam,冇5本2心1,沒良心,,
3749,冇纊,形容詞,mou gwang lang,冇5纊3捘3,(沒有對應詞彙),,"形容人凡事不留心,粗心大意,做事沒頭沒尾"
3750,冇情,形容詞,mou cing,冇5情4,無情,,
3751,冇行,其他,mou hong,冇5行4,沒門兒,沒希望,
3752,冇皇管,動詞,mou wong gun,冇5皇4*2管2,(沒有對應詞彙),,"說小孩頑皮,不遵管教"
3753,冇傝,形容詞,mou taap saap,冇5傝33,不懂事,沒正經,
3754,冇乜,副詞,mou mat,冇5乜7,沒有什麼,,
3755,冇乜野,副詞,mou mat je,冇5乜7野5,沒什麼,沒事兒,
3756,冇乜滯,副詞,mou mat zai,冇5乜7滯6,幾乎沒有,沒有多少,
3757,冇乜好死,其他,mou mat hou sei,冇5乜7好2死2,不得好死,,"(罵人話)意即不利,對己沒好處"
3758,冇乜點,副詞,mou mat dim,冇5乜72,沒什麼特別,,
3759,冇乜兩句,副詞,mou mat loeng geoi,冇5乜7兩5句3,沒二話,談得來,
3760,冇蝨搵蝨撓,動詞,mou sat uan sat,冇5蝨7搵2蝨7撓1,沒事找事,自找麻煩,
3761,冇得頂,形容詞,mou daak ding,冇5得7頂2,不可超越,利害,
3762,冇得,其他,mou dak maan,冇5得71,不可挽回,沒有希望,
3763,冇得彈,形容詞,mou dak taan,冇5得7彈4,無可挑剔,沒說的,
3764,冇得傾,形容詞,mou dak king,冇5得7傾1,無話可說,沒有什麼可談的,
3765,冇得講,形容詞,mou dak gong,冇5得7講2,無話可說,沒商量,
3766,冇食頭,其他,mou sik tau,冇5食9頭4,沒吃頭,,不好吃或不值得吃
3767,冇落,其他,mou zoek lok,冇59落9,沒有下落,沒兒,沒有可以指望的來源。
3768,冇解,其他,mou gaai,冇5解2,沒道理,不講理,
3769,冇氣冇力,形容詞,mou hei mou lik,冇5氣3冇5力9,軟弱無力,有氣無力,(身體不好)軟弱無力。
3770,冇來由,其他,mou loi jau,冇5來4由4,沒有根據,,
3771,冇收,其他,mou sau,冇5收1,沒辦法,沒轍,
3772,冇手尾,其他,mou sau mei,冇5手2尾5,(做事)有頭無尾,(做事)有始無終,
3773,冇心裝載,副詞,mou sam zong zoi,冇5心1裝1載3,心不在焉,,
3774,冇陰功,形容詞,mou jam gung,冇5陰1功1,缺德,造孽,"指人兇殘,虐待人,損陰德。"
3775,舞,動詞,mou,舞5,(不是粵方言詞),,
3776,舞馬留,動詞,mou maa lau,舞5馬5留1,(不是粵方言詞),,
3777,舞手弄腳,動詞,mou sau lung goek,舞5手2弄6腳8,(不是粵方言詞),,"形容人好亂動東西,很討人嫌"
3778,舞龍,動詞,mou lung,舞5龍4,(不是粵方言詞),,
3779,帽,服飾,mou,帽6*2,(不是粵方言詞),,(不是粵方言詞)
3780,帽檐,服飾,mou jam,帽6*2檐4,(不是粵方言詞),,帽子周圍突出的邊
3781,帽襻,服飾,mou paan,帽6襻1,帽帶,,竹帽、草帽的帶子
3782,帽碗,服飾,mou wun,帽6碗2,(沒有對應詞彙),,帽子緊貼頭部的部分
3783,帽菂,服飾,mou dik,帽6菂7,(沒有對應詞彙),,瓜皮帽頂的突起部分
3784,帽殼,服飾,mou hok,帽6殼8,沒有邊的竹帽,,
3785,霧水,天象、地理,mou seoi,霧6水2,露水,,
3786,霧水夫妻,其他,mou seoi fu cai,霧6水2夫1妻1,露水夫妻,一夜夫妻,"「霧水夫妻」,喻婚姻短暫的夫妻"
3787,霧水妾侍,其他,mou seoi cip si,霧6水2妾3侍6,(沒有對應詞彙),,玩夠了就拋棄的妾
3788,刀字邊,文化、娛樂,dou zi bin,刀1字6邊1,(漢字偏旁)立刀兒,,
3789,刀仔,工具、材料,dou zai,刀1仔2,小刀,(舊時指)短刀,
3790,刀嘴,工具、材料,dou zeoi,刀1嘴2,刀尖,,
3791,刀片,工具、材料,dou pin,刀1片3*2,(不是粵方言詞),,刮鬍子用的薄刀片。非粵方言詞。
3792,刀殼,工具、材料,dou hok,刀1殼8,刀鞘,,
3793,嘟,動詞,dou,嘟1,噘,,
3794,倒,動詞,dou,倒2,傾倒,,詞義與普通話相同
3795,倒瀉,動詞,dou se,倒2瀉2,倒撒了,,
3796,倒瀉籮蟹,形容詞,dou se lo haai,倒2瀉2籮4蟹5,手忙腳亂,,"形容照顧不過來,忙亂之極"
3797,倒米,動詞,dou mai,倒2米5,拆臺,破壞利益,
3798,倒米壽星,稱謂,dou mai sau sing,倒2米5壽6星1,(沒有對應詞彙),,罵專門破壞人家的好事者
3799,倒霉,形容詞,dou mui,倒2霉4,(不是粵方言詞),,不是粵方言詞
3800,倒頭,動詞,dou tau,倒2頭4,死亡,,
3801,倒頭經,其他,dou tau ging,倒2頭4經1,(沒有對應詞彙),,
3802,倒,動詞,dou zou,倒24*2,幫倒忙,,
3803,倒囊,動詞,dou nong,倒2囊4*2,體弱而虛胖,,
3804,倒瓤,植物、糧菜、果品,dou nong,倒2瓤4,婁,,"1.瓜類過熟而中空。2.瓜類過熟,瓜瓤腐爛。"
3805,倒瓤冬瓜,家具、日常用品,dou nong dung gwaa,倒2瓤4冬1瓜1,繡花枕頭,,"1.喻徒有其表,外強中乾者 / 喻外表雖好,但無能無學問者。2.徒有其表的人"
3806,搗蛋,動詞,dou daan,搗2蛋6*2,(不是粵方言詞),,(不是粵方言詞)
3807,賭,動詞,dou,賭2,賭博,泛指爭勝負,
3808,賭仔,稱謂,dou zai,賭2仔2,(沒有對應詞彙),,賭客、賭徒、賭棍的統稱
3809,賭氣,動詞,dou hei,賭2氣3,因不滿意而任性,,
3810,賭棍,稱謂,dou gwan,賭2棍3,(沒有對應詞彙),,指靠賭錢騙人為生的人
3811,賭番攤,動詞,dou faan taan,賭2番1攤1,參與番攤的賭博,,
3812,賭館,商業、交通,dou gun,賭2館2,(沒有對應詞彙),,有固定地點的賭博場所
3813,賭場,商業、交通,dou coeng,賭2場4,(沒有對應詞彙),,沒有固定地點臨時賭博的地方
3814,賭檔,商業、交通,dou dong,賭2檔3,賭博攤子,,
3815,到,動詞,dou,到3,到達,達到,詞義與普通話相同
3816,到加一,其他,dou gaa jat,到3加1一7,(沒有對應詞彙),,表示程度加重
3817,到時到候,其他,dou si dou hau,到3時4到3候6,到時候,,
3818,到位,動詞,dou wai,到3位6*2,到達目的地,,
3819,到死,動詞,dou sei,到3死2,(沒有對應詞彙),,放在形容詞後表示達到極點
3820,到其時,動詞,dou kei si,到3其4時4,到時候,,
3821,到會,動詞,dou wui,到3會6,(沒有對應詞彙),,
3822,到喉唔到肺,其他,dou hau m` dou fai,到3喉4唔4到3肺3,吃得貴而不實在,,
3823,到步,動詞,dou bou,到3步6,(沒有對應詞彙),,"車船到達,到達目的地"
3824,倒刺,動詞,dou ci,倒3刺3,(不是粵方言詞),,指甲旁的皮破豎起如刺。不是粵方言詞。
3825,倒豎,動詞,dou syu cung,倒3豎61,倒立,倒栽蔥,
3826,倒鬚,工具、材料,dou ngau sou,倒31鬚1,釣魚上的倒,,
3827,倒吊沙煲,其他,dou diu saa bou,倒3吊3沙1煲1,(指)窮得無米下鍋,,
3828,倒吊荷包,形容詞,dou diu ho baau,倒3吊3荷4包1,(沒有對應詞彙),,"喻甘願虧本,把錢折騰光"
3829,倒吊眼眉,動詞,dou diu ngaan mei,倒3吊3眼5眉4,眉梢向上吊起,,
3830,倒褪,動詞,dou tan,倒3褪3,退後,倒退,
3831,倒汗水,其他,dou hon seoi,倒3汗6水2,(沒有對應詞彙),,"1.水蒸氣附在玻璃上,鍋蓋上凝成的小水珠。2.凝結在鍋蓋上的蒸餾水"
3832,倒轉,動詞,dou zyun,倒3轉3,(不是粵方言詞),,不是粵方言詞
3833,倒轉頭,動詞,dou zyun tau,倒3轉3頭4,顛倒,,
3834,倒牙,人體,dou kap ngaa,倒39牙4,地包天,,倒牙--下牙包住上牙
3835,毒蟲,動詞,dou cung,毒9蟲4,打蟲子,打蟲,
3836,度,數量詞,dou,度9,度數,程度,詞義與普通話相同
3837,度,數量詞,dou,度9*2,尺寸,,
3838,度野,動詞,doi je,度9野5,元,塊錢(俗稱),
3839,道士,稱謂,dou si,道6士6*2,道教徒,,
3840,道友,稱謂,dou jau,道6友5,(指)吸鴉片煙者,吸毒者,
3841,道歉,動詞,dou hip,道6歉8,表示歉意,,
3842,渡,動詞,dou,渡6,(不是粵方言詞),,(不是粵方言詞)
3843,渡頭,商業、交通,dou tau,渡6頭4,(不是粵方言詞),,乘渡船過江的地方
3844,蠹蟲,動物,dou cung,蠹6蟲4,蛀蟲,,
3845,逃學,動詞,tou hok,逃4學9,(不是粵方言詞),,不是粵語方言詞
3846,桃,植物、糧菜、果品,tou,桃4,(不是粵方言詞),,水果名(不單用)。不是粵方言詞。
3847,徒弟,稱謂,tou dai,徒4弟6*2,(不是粵方言詞),,不是粵語方言詞
3848,徒孫,稱謂,tou syun,徒4孫1,(不是粵方言詞),,徒弟的兒子或弟子。不是粵語方言詞。普通話不指徒弟的弟子。
3849,徒塞,稱謂,tou sak,徒4塞1,重徒孫,,
3850,淘,飲食,tou,淘4,泡,,用湯水等泡飯吃
3851,淘古井,動詞,tou gu zeng,淘4古2井2,(沒有對應詞彙),,舊時指娶有錢的寡婦
3852,淘米,動詞,tou mai,淘4米5,(不是粵方言詞),,將米中之沙用水淘出
3853,圖畫,文化、娛樂,tou waa,圖4畫9*2,(沒有對應詞彙),,用線條或色彩構成的形象
3854,圖章,其他,tou zoeng,圖4章1,(沒有對應詞彙),,
3855,圖則,商業、交通,tou zik,圖4則7,圖紙(建築業),,
3856,土字邊,文化、娛樂,tou zi bin,土2字6邊1,(漢字偏旁)土字旁,提土旁兒,
3857,土地,其他,tou dei,土2地6*2,土地爺,,
3858,肚餓,動詞,tou ngo,肚5餓6,餓,,
3859,肚屙,動詞,tou o,肚5屙1,瀉肚,拉肚子,
3860,肚臍,人體,tou ci,肚5臍4,(不是粵方言詞),,"""肚臍""""非粵方言詞"
3861,肚,其他,tou gok,肚51,肚子脹,肚脹,
3862,兔,動物,tou,兔3,(不是粵方言詞),,"""兔""""非粵方言詞"
3863,兔嘴,人體,tou zeoi,兔3嘴2,缺唇,兔唇,
3864,套,動詞,tou,套3,(不是粵方言詞),,不是粵語方言詞
3865,套褲,服飾,tou fu,套3褲3,(不是粵方言詞),,不是粵語方言詞
3866,腦後見腮,人體,nou hau gin soi,腦5後6見3腮1,(沒有對應詞彙),,"腮骨突出,由背後可見"
3867,腦筋,其他,nou gan,腦5筋1,思想意識,,
3868,,家具、日常用品,lou,1,鍋底上的黑煙子,,
3869,撈家,稱謂,lou gaa,撈1家1,(不是粵方言詞),,幹不正當營生以謀重利的人
